ID,中文原文,英文译文,Reviewer,备注
T-0057,这是一条用于测试的产品文案。,“The Aurora desk”—designed for hybrid teams…  brings  focus to shared work.,Morgan,fake data for local testing
T-0058,供应商需要在发货前确认最终验收。,The supplier–not the distributor—must confirm “final acceptance”… before shipment.,Riley,fake data for local testing
T-0059,客户反馈语气需要更自然。,Customers said ‘it feels premium’……  but the launch copy still  needs cleanup.,Casey,fake data for local testing
T-0060,培训材料需要检查术语一致性。,Module 3—Quality Review explains how to flag “ambiguous terms”  and  revise them.,Alex,fake data for local testing
T-0061,这里用于测试行首和行尾空格。,  Leading spaces should disappear—and trailing spaces should too.  ,Morgan,fake data for local testing
T-0062,按钮文案需要确认是否清晰。,The button label–if translated literally—may confuse users… please review.,Riley,fake data for local testing
T-0063,操作提示需要符合英文格式。,“Confirm”—then proceed to the next step…  Do not close the tab.,Casey,fake data for local testing
T-0064,这是一条无需修改的干净记录。,This clean row should stay unchanged.,Alex,fake data for local testing
T-0065,这是一条用于测试的产品文案。,“The Aurora desk”—designed for hybrid teams…  brings  focus to shared work.,Morgan,fake data for local testing
T-0066,供应商需要在发货前确认最终验收。,The supplier–not the distributor—must confirm “final acceptance”… before shipment.,Riley,fake data for local testing
T-0067,客户反馈语气需要更自然。,Customers said ‘it feels premium’……  but the launch copy still  needs cleanup.,Casey,fake data for local testing
T-0068,培训材料需要检查术语一致性。,Module 3—Quality Review explains how to flag “ambiguous terms”  and  revise them.,Alex,fake data for local testing
T-0069,这里用于测试行首和行尾空格。,  Leading spaces should disappear—and trailing spaces should too.  ,Morgan,fake data for local testing
T-0070,按钮文案需要确认是否清晰。,The button label–if translated literally—may confuse users… please review.,Riley,fake data for local testing
T-0071,操作提示需要符合英文格式。,“Confirm”—then proceed to the next step…  Do not close the tab.,Casey,fake data for local testing
T-0072,这是一条无需修改的干净记录。,This clean row should stay unchanged.,Alex,fake data for local testing
T-0073,这是一条用于测试的产品文案。,“The Aurora desk”—designed for hybrid teams…  brings  focus to shared work.,Morgan,fake data for local testing
T-0074,供应商需要在发货前确认最终验收。,The supplier–not the distributor—must confirm “final acceptance”… before shipment.,Riley,fake data for local testing
T-0075,客户反馈语气需要更自然。,Customers said ‘it feels premium’……  but the launch copy still  needs cleanup.,Casey,fake data for local testing
T-0076,培训材料需要检查术语一致性。,Module 3—Quality Review explains how to flag “ambiguous terms”  and  revise them.,Alex,fake data for local testing
T-0077,这里用于测试行首和行尾空格。,  Leading spaces should disappear—and trailing spaces should too.  ,Morgan,fake data for local testing
T-0078,按钮文案需要确认是否清晰。,The button label–if translated literally—may confuse users… please review.,Riley,fake data for local testing
T-0079,操作提示需要符合英文格式。,“Confirm”—then proceed to the next step…  Do not close the tab.,Casey,fake data for local testing
T-0080,这是一条无需修改的干净记录。,This clean row should stay unchanged.,Alex,fake data for local testing
T-0081,这是一条用于测试的产品文案。,“The Aurora desk”—designed for hybrid teams…  brings  focus to shared work.,Morgan,fake data for local testing
T-0082,供应商需要在发货前确认最终验收。,The supplier–not the distributor—must confirm “final acceptance”… before shipment.,Riley,fake data for local testing
T-0083,客户反馈语气需要更自然。,Customers said ‘it feels premium’……  but the launch copy still  needs cleanup.,Casey,fake data for local testing
T-0084,培训材料需要检查术语一致性。,Module 3—Quality Review explains how to flag “ambiguous terms”  and  revise them.,Alex,fake data for local testing
T-0085,这里用于测试行首和行尾空格。,  Leading spaces should disappear—and trailing spaces should too.  ,Morgan,fake data for local testing
T-0086,按钮文案需要确认是否清晰。,The button label–if translated literally—may confuse users… please review.,Riley,fake data for local testing
T-0087,操作提示需要符合英文格式。,“Confirm”—then proceed to the next step…  Do not close the tab.,Casey,fake data for local testing
T-0088,这是一条无需修改的干净记录。,This clean row should stay unchanged.,Alex,fake data for local testing
T-0089,这是一条用于测试的产品文案。,“The Aurora desk”—designed for hybrid teams…  brings  focus to shared work.,Morgan,fake data for local testing
T-0090,供应商需要在发货前确认最终验收。,The supplier–not the distributor—must confirm “final acceptance”… before shipment.,Riley,fake data for local testing
T-0091,客户反馈语气需要更自然。,Customers said ‘it feels premium’……  but the launch copy still  needs cleanup.,Casey,fake data for local testing
T-0092,培训材料需要检查术语一致性。,Module 3—Quality Review explains how to flag “ambiguous terms”  and  revise them.,Alex,fake data for local testing
T-0093,这里用于测试行首和行尾空格。,  Leading spaces should disappear—and trailing spaces should too.  ,Morgan,fake data for local testing
T-0094,按钮文案需要确认是否清晰。,The button label–if translated literally—may confuse users… please review.,Riley,fake data for local testing
T-0095,操作提示需要符合英文格式。,“Confirm”—then proceed to the next step…  Do not close the tab.,Casey,fake data for local testing
T-0096,这是一条无需修改的干净记录。,This clean row should stay unchanged.,Alex,fake data for local testing
T-0097,这是一条用于测试的产品文案。,“The Aurora desk”—designed for hybrid teams…  brings  focus to shared work.,Morgan,fake data for local testing
T-0098,供应商需要在发货前确认最终验收。,The supplier–not the distributor—must confirm “final acceptance”… before shipment.,Riley,fake data for local testing
T-0099,客户反馈语气需要更自然。,Customers said ‘it feels premium’……  but the launch copy still  needs cleanup.,Casey,fake data for local testing
T-0100,培训材料需要检查术语一致性。,Module 3—Quality Review explains how to flag “ambiguous terms”  and  revise them.,Alex,fake data for local testing
